Institution Number,PI Last Name,PI First Name,PI Department Name,Investigator ALL Last Name,Investigator ALL First Name,Investigator ALL Dept or Unit,Sponsor Name,Project Title,Requested Project Period Start Date,Requested Project Period End Date,Project Total Requested Sponsor Costs (entire project),Current Proposal Status,Current Proposal Status Date,ARRA Funding,Sponsor Award Number
PD300079,Schenkein,Harvey,Periodontics,Shoenfeld~Schenkein~Brooks~Koertge~Best~,Yehuda~Harvey~Carol~Thomas~Alvin~,Sheba Medical Center~Periodontics~General Practice~Periodontics~Periodontics~,National Institute of Dental and Craniofacial Research/NIH/DHHS,Antiphospholipids and Vascular Inflammation in Aggressive Periodontitis,1-Dec-07,30-Nov-11,1526132,Award Closed,24-Jul-13,N,5R01DE018125-04 Revised2
PD300080,Oh,Youngman,Pathology,Paisley~Oh~,Thomas~Youngman~,Pathology~Pathology~,National Institutes of Health,Diagnostic and therapeutic potential of IGFBP-3 and IGFBP-3R in lung cancer,1-Dec-07,30-Nov-09,409750,Proposal Not Awarded,26-Jun-07,N,NA
PD300081,Pandya,Arti,Human and Molecular Genetics,Siminoff~Maes~Nance~Pandya~Arnos~,Laura~Hermine~Walter~Arti~Kathleen~,Social and Behavioral Health~Human and Molecular Genetics~Human and Molecular Genetics~Human and Molecular Genetics~Biology~,National Institutes of Health,Potential Societal Impact of Advances in Genetic Deafness,1-Dec-07,30-Nov-12,1853925,Proposal Not Awarded,29-Feb-08,N,NA
PD300082,Spiegel,Sarah,Biochemistry and Molecular Biology,Bittman~Paugh~Payne~Mitra~Keegan~Spiegel~Schwartz~Chalfant~Oskeritzian~,Robert~Steven~Shawn~Poulami~Achsah~Sarah~Lawrence~Charles~Carole~,NA,National Institutes of Health,Targeting sphingosine kinases in FcepsilonRI-mediated allergic responses,1-Dec-07,30-Nov-12,1676250,Proposal Withdrawn,7-Mar-08,N,NA
PD300083,Chalfant,Charles,Biochemistry and Molecular Biology,Cho~Stahelin~Serhan~Wijesinghe~Morris~Lamour~Spiegel~Fowler~Chalfant~Fang~Windle~Jones~,Wonhwa~Robert~Charles~Dayanjan~Andrew~Nadia~Sarah~Alpha~Charles~Xianjun~Jolene~Drew~,NA,National Institutes of Health,The Role of Ceramide Kinase in Eicosanoid Synthesis,1-Jan-08,31-Dec-12,1801841,Proposal Withdrawn,24-Oct-07,N,NA
PD300084,Shall,Mary,Physical Therapy,Dusing~Dodson~Pidcoe~Shall~,Stacey~Kelley~Peter~Mary~,Physical Therapy~Otolaryngology~Physical Therapy~Physical Therapy~,National Institute on Deafness & Other Communication Disorders/NIH/DHHS,Outcomes of Vestibular Impairment in Children with Mild to Severe Hearing Loss,1-Aug-08,31-Jul-12,1002480,Proposal Not Awarded,6-Feb-08,N,NA
PD300085,Jacobs,Kimberle,Anatomy and Neurobiology,George~Povlishock~Henderson~McQuiston~Jacobs~,Amanda~John~Scott~Adam~Kimberle~,Anatomy and Neurobiology~Anatomy and Neurobiology~Anatomy and Neurobiology~Anatomy and Neurobiology~Anatomy and Neurobiology~,National Institute of Neurological Disorders and Stroke/NIH/DHHS,Role of Interneuron Subtypes in Malformed Cortex,1-Dec-07,30-Jun-14,1822736,Award In Closeout,3-Sep-14,N,5R01NS054210-05R
PD300086,Van Den Oord,Edwin,Pharmacotherapy & Outcomes Science,Bukszar~Van Den Oord~,Jozsef~Edwin~,Pharmacotherapy & Outcomes Science~Pharmacotherapy & Outcomes Science~,National Human Genome Research Institute/NIH/DHHS,Design and analysis of adaptive multistage genetic association studies,1-Dec-07,30-Nov-10,968500,Award Archived,15-Mar-13,N,5R01HG004240-03R
PD300087,Churn,Severn,Neurology,Churn~Henderson~,Severn~Scott~,Neurology~Anatomy and Neurobiology~,National Institute of Neurological Disorders and Stroke/NIH/DHHS,Cellular Mechanisms of Increased Pathology Following SE in the Aged Brain,1-Dec-07,30-Nov-09,409750,Proposal Not Awarded,24-Sep-10,N,NA
PD300089,Lewis,Janina,Oral and Craniofacial Molecular Biology,Lewis~Yeudall~Windle~,Janina~William~Jolene~,Oral and Craniofacial Molecular Biology~Oral and Craniofacial Molecular Biology~Human and Molecular Genetics~,National Institutes of Health,Host response to oral microbial pathogens,15-Oct-07,14-Oct-09,409750,Proposal Not Awarded,6-Jun-07,N,1R21DE018818-01
PD300090,Strauss,Jerome,Deans Office - Medicine,Washington~Morris~Strauss~Corey~Walsh~York~,Sonya~Anne-~Jerome~Linda~Scott~Timothy~,Obstetrics and Gynecology~Mid-Atlantic Twin Registry~Deans Office - Medicine~Human and Molecular Genetics~Obstetrics and Gynecology~Human and Molecular Genetics~,National Institute of Child Health and Human Development/NIH/DHHS,Mechanisms of Fetal Membrane Rupture,1-Jan-08,31-Dec-10,1862500,Award Closed,12-Mar-14,N,5R01HD034612-13R
PD300091,Barbour,Suzanne,Biochemistry and Molecular Biology,Griffiths~Barbour~Hylemon~Sanyal~Ghosh~Fang~,Rachael~Suzanne~Phillip~Arun~Shobha~Xianjun~,Biochemistry and Molecular Biology~Biochemistry and Molecular Biology~Microbiology and Immunology~Gastroenterology - Internal Medicine~Pulmonary Disease~Biochemistry and Molecular Biology~,National Institutes of Health,Modulation of Hepatic Steatosis by Group VIA PLA2,1-Dec-07,30-Nov-09,398550,Proposal Not Awarded,5-Feb-08,N,NA
PD300092,Williamson,Jeffrey,Radiation Oncology,Politte~Zhong~Whiting~Lazos~Snyder~Williamson~O'Sullivan~,David~Hualiang~Bruce~Dimitrios~Donald~Jeffrey~Joseph~,Washington University in St Louis~Radiation Oncology~Washington University in St Louis~Radiation Oncology~Washington University in St Louis~Radiation Oncology~Washington University in St Louis~,National Institutes of Health,Statistical image reconstruction for X-ray CT-guided cancer radiotherapy,1-Dec-07,30-Nov-12,1874281,Proposal Not Awarded,1-Aug-07,N,NA
PD300094,Korchynskyy,Oleksandr,Orthopedic Surgery,ten Dijke~Korchynskyy~Rogers~,Peter~Oleksandr~Michael~,Leiden University Medical Center~Orthopedic Surgery~University of Aberdeen~,National Institutes of Health,Inflammation Causes Preosteoblast Apoptosis In Jaw Upon Bisphosphonates Treatment,1-Apr-08,31-Mar-10,147699,Proposal Not Awarded,15-Jan-09,N,NA
PD300095,Barton,William,Biochemistry and Molecular Biology,Eller~Hoke~Bareford~Dalton~Barton~,Becca~Nicholas~Mary~Annamarie~William~,Biochemistry and Molecular Biology~Biochemistry and Molecular Biology~Biochemistry and Molecular Biology~Biochemistry and Molecular Biology~Biochemistry and Molecular Biology~,National Cancer Institute/NIH/DHHS,Biochemical and Biophysical Analysis of Angiopoietin Signaling,1-Dec-07,30-Nov-12,1580000,Award Closed,31-Oct-13,N,5R01CA127501-05
PD300096,Chen,Ching-Kang,Biochemistry and Molecular Biology,Rao~Neubig~Hurley~Yau~Burns~Fain~Morhardt~~Krahn~Chen~Chen~,Anjali~Richard~James~King-Wei~Marie~Gordon~Duncan~TBD~Elizabeth~Frank~Ching-Kang~,NA,National Eye Institute/NIH/DHHS,Recovery of Phototransduction,1-Dec-07,30-Nov-12,1880029,Award Closed,26-Feb-14,N,5R01EY013811-09 Revised
PD300097,Davies,Andrew,Pharmacology and Toxicology,Davies~Bettinger~,Andrew~Jill~,Pharmacology and Toxicology~Pharmacology and Toxicology~,National Institutes of Health,Ethanol Targets in C. elegans,1-Dec-07,30-Nov-12,1487060,Proposal Withdrawn,30-Aug-07,N,1R01AA016842-01A1
PD300098,Smeltz,Ronald,Microbiology and Immunology,Smeltz~Bear~,Ronald~Harry~,Microbiology and Immunology~Surgery~,National Cancer Institute/NIH/DHHS,Synergy between inflammation and IL-15 on memory T cell function,1-Jan-08,31-Dec-12,1767801,Proposal Not Awarded,6-Jun-07,N,NA
PD300100,Bowlin,Gary,Biomedical Engineering,Fuchs~Bowlin~Henderson~,Michael~Gary~Scott~,Gastroenterology - Internal Medicine~Biomedical Engineering~Anatomy and Neurobiology~,National Institutes of Health,Liver Lobule Tissue Engineering,1-Dec-07,30-Nov-09,409750,Proposal Not Awarded,5-Feb-08,N,NA
PD300101,Zhang,Zhibing,Obstetrics and Gynecology,Shen~Zhang~,Xuening~Zhibing~,Obstetrics and Gynecology~Obstetrics and Gynecology~,National Institutes of Health,Identification of target genes regulated by SOX5 in BEAS-2B cell,1-Apr-08,31-Mar-10,148999,Proposal Not Awarded,2-Jun-08,N,1R03HD057982-01 NOT AWARDED
PD300102,Zhou,Qibing,Chemistry,Ryan~Stewart~Zhou~,John~Jennifer~Qibing~,Biology~Biology~Chemistry~,National Institutes of Health,Cis-terpenone: A novel Mechanism-based Chemopreventive Agent for Aflatoxin B1,1-Dec-07,30-Nov-09,401812,Proposal Not Awarded,1-Aug-07,N,NA
PD300103,Knapp,Pamela,Anatomy and Neurobiology,Tyor~Knapp~Hauser~Henderson~,William~Pamela~Kurt~Scott~,Medical University of South Carolina~Anatomy and Neurobiology~Pharmacology and Toxicology~Anatomy and Neurobiology~,National Institute on Drug Abuse/NIH/DHHS,Glial Progenitors as Targets of HIV/Opiate Interactions,13-Sep-07,31-Aug-13,1833034,Award In Closeout,24-Feb-14,N,5R01DA024461-05
PD300104,Conrad,Daniel,Microbiology and Immunology,Sturgill~Gibb~Schlomer~Conrad~,Jamie~David~Jerome~Daniel~,Microbiology and Immunology~Microbiology and Immunology~Microbiology and Immunology~Microbiology and Immunology~,National Institute of Allergy and Infectious Diseases/NIH/DHHS,Structure and Function of the Lymphocyte Fce Receptor,1-Jan-08,31-Dec-12,1800044,Award In Closeout,3-Sep-14,N,5R01AI018697-32 Revised
PD300105,McVoy,Michael,Pediatrics,Wang~Dollery~McVoy~Adler~Nicola~,Jian~Stephen~Michael~Stuart~Anthony~,Pediatrics~Virginia Commonwealth University~Pediatrics~Pediatrics~Microbiology and Immunology~,National Institute of Allergy and Infectious Diseases/NIH/DHHS,Ability of CMV Vaccines to Induce Antibodies that Block Endocytic Entry,1-Dec-07,30-Nov-09,388112,Award Archived,16-Oct-12,N,5R21AI073615-02
PD300106,de Wit,Marjolein,Pulmonary Disease,Greenblatt~Tomlinson~~~Weaver~de Wit~Balster~Moss~,David~Judith~TBD~TBD~Michael~Marjolein~Robert~Marc~,Department of Pharmacology and Experimental Therap~MCV Hospitals Employee~Pediatrics~Pediatrics~General Medicine and Primary Care~Pulmonary Disease~Pharmacology and Toxicology~Division of Pulmonary Sciences & Critical Care Med~,National Institute on Alcohol Abuse and Alcoholism/NIH/DHHS,Treatment and Outcomes of Non-Verbal ICU Patients with Alcohol Use Disorders,1-Apr-08,31-Mar-13,2377389,Proposal Not Awarded,17-Oct-07,N,NA
PD300108,Barker,Sandra,Psychiatry,Schubert~Coyne~Knisely~Barker~Smith~McCain~,Christine~Patrick~Janet~Sandra~Thomas~Nancy~,Biostatistics~MCV Hospitals Employee~Psychiatry~Psychiatry~Hematology/Oncology - Internal Medicine~Adult Health and Nursing Systems~,National Institutes of Health,Feasibility of Animal-Assisted Therapy for Palliative Care Patients with Cancer,1-Dec-07,30-Nov-10,765427,Proposal Not Awarded,17-Oct-07,N,NA
PD300109,Lyon,Debra,Family and Community Health Nursing,Anderson~Stillman~Walter~Schubert~Bear~Lyon~McCain~,George~Julie~Jeanne~Christine~Harry~Debra~Nancy~,Yale Child Study Center~Adult Health and Nursing Systems~Family and Community Health Nursing~Biostatistics~Surgery~Family and Community Health Nursing~Adult Health and Nursing Systems~,National Institutes of Health,Cranial Stimulation for Chemotherapy Symptoms in Breast Cancer,1-Jul-08,30-Jun-13,1801688,Proposal Not Awarded,16-Jul-08,N,NA
PD300110,Chalfant,Charles,Biochemistry and Molecular Biology,Cho~Subramanian~Stahelin~Bielawska~Chalfant~Taylor~Windle~,Wonhwa~Preeti~Robert~Alicja~Charles~Shirley~Jolene~,University of Illinois at Chicago~Biochemistry and Molecular Biology~University of Notre Dame~Medical University of South Carolina~Biochemistry and Molecular Biology~Microbiology and Immunology~Human and Molecular Genetics~,National Institutes of Health,The mechanism and role of the ceramide-1-phosphate/cPLA2alpha interaction,1-Apr-08,31-Mar-13,1835550,Proposal Not Awarded,4-Dec-12,N,NA
PD300111,Marconi,Richard,Microbiology and Immunology,Freedman~Marconi~,John~Richard~,Microbiology and Immunology~Microbiology and Immunology~,National Institutes of Health,Immune evasion mechanisms of the Borrelia,1-Dec-07,30-Nov-12,1800924,Proposal Not Awarded,26-Jun-07,N,NA
PD300112,Marconi,Richard,Microbiology and Immunology,Freedman~Marconi~,John~Richard~,Microbiology and Immunology~Microbiology and Immunology~,National Institute of Allergy and Infectious Diseases/NIH/DHHS,Immune evasion mechanisms of the Borrelia,1-Jul-08,30-Jun-13,1801724,Award Archived,26-Mar-14,Y,5R01AI037787-12
PD300114,Siminoff,Laura,Social and Behavioral Health,Swaminathan~~Davis~Shafer~Siminoff~,Aruna~TBN~Kimberly~Teresa~Laura~,Social and Behavioral Health~~~N/A~Social and Behavioral Health~,National Institutes of Health,A Randomized Trial of the ERRA Intervention to Increase Consent to Organ Donation,1-Apr-08,31-Mar-13,3183733,Proposal Not Awarded,9-Aug-07,N,NA
PD300115,Kurdziel,Karen,Radiology,Thadigiri~Hirsch~Schmidt~Bear~Baker~McClish~Kurdziel~,Celina~Jerry~Kristin~Harry~Sherman~Donna~Karen~,Radiology~Radiology~Family Medicine and Population Health~Surgery~Hematology/Oncology - Internal Medicine~Biostatistics~Radiology~,National Institutes of Health,Phase 1/2 study of F18 paclitaxel (FPAC): an in vivo marker for tumor resistance,3-Jul-07,2-Jul-09,745000,Proposal Withdrawn,29-Apr-08,N,1R21CA130345-01A1
PD300116,O'Connell,Peter,Human and Molecular Genetics,Kirkland~Sun~Dumur~Bear~Wilson~O'Connell~York~,Veronica~Cuie~Catherine~Harry~Diane~Peter~Timothy~,Human and Molecular Genetics~Psychiatry~Pathology~Surgery~General Medicine and Primary Care~Human and Molecular Genetics~Human and Molecular Genetics~,National Institutes of Health,Obesity-Associated Breast Tumor Gene Expression and Treatment Response,1-Apr-08,31-Mar-10,409246,Proposal Not Awarded,23-Oct-07,N,NA
PD300118,Weaver,Michael,General Medicine and Primary Care,Cropsey~Weaver~Taxman~,Karen~Michael~Faye~,Wilder School of Government and Public Affairs~General Medicine and Primary Care~Wilder School of Government and Public Affairs~,National Institutes of Health,Treatment Study Using Depot Naltrexone(6/6)Richmond Protocol Treatment Site,30-Sep-07,29-Sep-12,2388583,Proposal Not Awarded,23-Oct-07,N,NA
PD300120,Zhang,Yan,Medicinal Chemistry Pharmacy,Zhang~Kellogg~Buckheit~,Yan~Glen~Robert~,Medicinal Chemistry Pharmacy~Medicinal Chemistry Pharmacy~Scientific Team~,National Institutes of Health,Anibamine_ a novel CCR5 antagonist as anti-HIV lead compound,1-Dec-07,30-Nov-09,432763,Proposal Withdrawn,7-Mar-08,N,NA
PD300121,Clement,Jan,Health Administration,Parsons~Clement~,Pamela~Jan~,Geriatric Medicine~Health Administration~,Agency for Healthcare Research and Quality/DHHS,Does Public Nursing Home Quality Reporting Lead to Value Pricing?,1-Jan-08,31-Dec-08,100000,Proposal Not Awarded,24-Mar-08,N,NA
PD300123,Munro,Cindy,Adult Health and Nursing Systems,Munro~Elswick~Grap~Sessler~,Cindy~Ronald~Mary~Curtis~,Adult Health and Nursing Systems~Family and Community Health Nursing~Adult Health and Nursing Systems~Pulmonary Disease~,National Institutes of Health,Oral Care Intervention in Mechanically Ventilated Adults,1-Mar-08,29-Feb-12,1965913,Proposal Not Awarded,29-Sep-08,N,2R01NR007652-06
PD300125,Grotewiel,Michael,Human and Molecular Genetics,Rhodenizer~Bhandari~Grotewiel~,Devin~Poonam~Michael~,Human and Molecular Genetics~Human and Molecular Genetics~Human and Molecular Genetics~,National Institutes of Health,Genetics of ethanol behavior in Drosophila,1-Apr-08,31-Mar-11,702139,Proposal Not Awarded,2-Jun-08,N,NA
PD300126,Brown,Jennifer,Integrative Systems - Nursing,Brown~Schubert~Cohen~,Jennifer~Christine~Robert~,Adult Health and Nursing Systems~Biostatistics~Psychiatry~,National Institutes of Health,An Examination of Emergency Department Pediatric Psychiatric Services,1-Apr-08,30-Mar-12,867413,Proposal Not Awarded,23-Oct-07,N,NA
PD300127,El-Hage,Nazira,Pharmacology and Toxicology,Knapp~El-Hage~Hauser~,Pamela~Nazira~Kurt~,Anatomy and Neurobiology~Pharmacology and Toxicology~Pharmacology and Toxicology~,National Institutes of Health,Glial regulatory pathways in opiate abuse-HIV neuropathogenesis,1-Jan-08,31-Dec-12,1862500,Proposal Not Awarded,30-Jul-07,N,1R01DA024605-01
PD300128,York,Timothy,Human and Molecular Genetics,Corey~Eaves~Van Den Oord~York~,Linda~Lindon~Edwin~Timothy~,Human and Molecular Genetics~Human and Molecular Genetics~Pharmacotherapy & Outcomes Science~Human and Molecular Genetics~,National Institutes of Health,Effects of maternal and fetal genotype on risk for preterm birth,1-Apr-08,31-Mar-10,409750,Proposal Not Awarded,17-Oct-07,N,NA
PD300129,Xu,Ping,Oral and Craniofacial Molecular Biology,Ge~Xu~,Xiuchun~Ping~,Oral and Craniofacial Molecular Biology~Oral and Craniofacial Molecular Biology~,National Institutes of Health,Vitamin B12 gene cluster in oral microbes,1-Apr-08,31-Mar-10,372500,Proposal Not Awarded,5-Oct-07,N,NA
PD300131,Fuss,Babette,Anatomy and Neurobiology,Fuss~Navarrete~Hedin-Pereira~,Babette~Luciana~Cecilia~,Anatomy and Neurobiology~Biophysics Institute~Biophysics Institute~,National Institutes of Health,PD-Ialpha/ATX's role for forebrain oligodendrocyte specification and migration,1-Apr-08,31-Mar-11,106400,Proposal Withdrawn,2-Jun-08,N,NA
PD300133,Zhao,Zhongming,Psychiatry,Sun~Wang~Dick~Williams~Zhao~Kendler~Miles~Webb~,Jingchun~Huan~Danielle~Robert~Zhongming~Kenneth~Michael~Bradley~,Psychiatry~Biostatistics~Psychiatry~University of Tennessee Health Science Center~Psychiatry~Psychiatry~Pharmacology and Toxicology~Psychiatry~,National Institute on Alcohol Abuse and Alcoholism/NIH/DHHS,Generation of Ethanol Response Gene Resource by Large-Scale Data Integration,1-Apr-08,31-Mar-10,409750,Proposal Not Awarded,2-Jun-08,N,NA
PD300134,Riley,Brien,Psychiatry,Bigdeli~Maher~Corvin~Wang~Bukszar~~~Wormley~Zhao~Gill~O'Neill~~~Reimers~~~Morris~~~Riley~Zhao~Kendler~Van Den Oord~Webb~,Tim~Brion~Aiden~Huan~Jozsef~TBD~TBD~Brandon~Zhongming~Michael~Francis~TBD~TBD~Mark~TBD~TBD~Derek~TBD~TBD~Brien~Zhongming~Kenneth~Edwin~Bradley~,NA,National Institute of Mental Health/NIH/DHHS,A Genome-Wide Association Study of Schizophrenia in Ireland,1-Apr-08,30-Nov-14,3927757,Awarded,9-Jun-14,N,5R01MH083094-04 Revised
PD300135,Kennedy,May,Social and Behavioral Health,Jin~Jones~Kennedy~Wilson~McClish~,Yan~Resa~May~Diane~Donna~,Mass Communication~Family Medicine and Population Health~Social and Behavioral Health~General Medicine and Primary Care~Biostatistics~,National Institutes of Health,Refining Entertainment Education for Cancer Literacy in African American Women,1-Feb-08,31-Jan-11,1064554,Proposal Withdrawn,15-Apr-08,N,NA
PD300136,Barton,William,Biochemistry and Molecular Biology,Bareford~Barton~,Mary~William~,Biochemistry and Molecular Biology~Biochemistry and Molecular Biology~,National Institute of Neurological Disorders and Stroke/NIH/DHHS,High-Throughput Assay Development for the Identification of Inhibitors of Tie1-Ti,1-Oct-07,30-Sep-08,149000,Proposal Not Awarded,5-Feb-08,N,NA
PD300137,Tseng,Gea-Ny,Physiology and Biophysics,Guy~Recanatini~~~Korolkova~Xu~Lyu~Tseng~Jiang~,H.~Maurizio~TBN~TBN~Yuliya~Xu~Ping-Chiang~Gea-Ny~Min~,National Institutes of Health~Pharmaceutical Sciences~~~Institute of Bioorganic Chemistry~Physiology and Biophysics~National Tsing Hua University~Physiology and Biophysics~Physiology and Biophysics~,National Institutes of Health,K CHANNELS: STRUCTURE-FUNCTION RELATION AND PHARMACOLOGY,1-Apr-08,31-Mar-13,1824936,Proposal Not Awarded,17-Oct-07,N,NA
PD300140,Graf,Martin,Neurosurgery,Jia~Loria~Graf~Dent~Ramakrishnan~,Wentao~Roger~Martin~Paul~Viswanathan~,Neurosurgery~Microbiology and Immunology~Neurosurgery~Biochemistry and Molecular Biology~Biostatistics~,National Institutes of Health,Neuro-steroid_ 7b androstene 17a diol - induced autophagy in malignant gliomas,1-Apr-08,31-Mar-13,1795244,Proposal Not Awarded,17-Oct-07,N,NA
PD300141,Grotewiel,Michael,Human and Molecular Genetics,Rhodenizer~Jones~Grotewiel~,Devin~Melanie~Michael~,Human and Molecular Genetics~Human and Molecular Genetics~Human and Molecular Genetics~,National Institutes of Health,Genetics of locomotor senescence and life span in Drosophila,1-Apr-08,31-Mar-13,1804296,Proposal Not Awarded,17-Oct-07,N,NA
PD300143,Moxley,George,Rheumatology_ Allergy_ and Immunology,Margulis~Hayes~Coggins~Cole~Benson~Carlson~Holley~~Dumur~Garrett~Moxley~Beckman~Archer~Jiranek~,Arkady~Curtis~Claire~Ada~Linda~Cathy~Tara~Coordinator_ Joint Registry and Adult Reconstruction Fellowship~Catherine~Carleton~George~Matthew~Kellie~William~,Rush University Medical Center~Radiology~Radiology~Biochemistry~Neurology~University of Minnesota~Pathology~Orthopaedic Surgery~Pathology~Pathology~Rheumatology_ Allergy_ and Immunology~Pharmacology and Toxicology~Biostatistics~Surgery~,National Institutes of Health,Gene Expression Profiles in Osteoarthritis Clinical Variants,1-Sep-08,31-Aug-10,614863,Proposal Not Awarded,23-Oct-07,N,NA
